record_id,suburb_or_region,state,water_authority,parameter_name,value_numeric,unit,min_value,average_value,max_value,number_of_samples,source_file_name,source_type,source_url,publication_date,report_month,last_checked_date,coverage_level,confidence_level,review_status,reviewer_notes
bris_m2026_001,Brisbane,QLD,Seqwater,Fluoride,,,,,,,Seqwater Water Quality Report - Brisbane - March 2026.pdf,downloadable_pdf,uploaded_source_file,,2026-03,2026-05-08,authority,medium,imported,Candidate row created from monthly Brisbane report scope; numeric fields pending manual PDF extraction and QA.
bris_m2026_002,Brisbane,QLD,Seqwater,Free Chlorine,,,,,,,Seqwater Water Quality Report - Brisbane - March 2026.pdf,downloadable_pdf,uploaded_source_file,,2026-03,2026-05-08,authority,medium,imported,Candidate row created from monthly Brisbane report scope; numeric fields pending manual PDF extraction and QA.
bris_m2026_003,Brisbane,QLD,Seqwater,Monochloramine,,,,,,,Seqwater Water Quality Report - Brisbane - March 2026.pdf,downloadable_pdf,uploaded_source_file,,2026-03,2026-05-08,authority,medium,imported,Candidate row created from monthly Brisbane report scope; numeric fields pending manual PDF extraction and QA.
bris_m2026_004,Brisbane,QLD,Seqwater,Total Chlorine,,,,,,,Seqwater Water Quality Report - Brisbane - March 2026.pdf,downloadable_pdf,uploaded_source_file,,2026-03,2026-05-08,authority,medium,imported,Candidate row created from monthly Brisbane report scope; numeric fields pending manual PDF extraction and QA.
bris_m2026_005,Brisbane,QLD,Seqwater,Hardness,,,,,,,Seqwater Water Quality Report - Brisbane - March 2026.pdf,downloadable_pdf,uploaded_source_file,,2026-03,2026-05-08,authority,medium,imported,Candidate row created from monthly Brisbane report scope; numeric fields pending manual PDF extraction and QA.
bris_m2026_006,Brisbane,QLD,Seqwater,pH,,,,,,,Seqwater Water Quality Report - Brisbane - March 2026.pdf,downloadable_pdf,uploaded_source_file,,2026-03,2026-05-08,authority,medium,imported,Candidate row created from monthly Brisbane report scope; numeric fields pending manual PDF extraction and QA.
bris_m2026_007,Brisbane,QLD,Seqwater,Total Dissolved Solids,,,,,,,Seqwater Water Quality Report - Brisbane - March 2026.pdf,downloadable_pdf,uploaded_source_file,,2026-03,2026-05-08,authority,medium,imported,Candidate row created from monthly Brisbane report scope; numeric fields pending manual PDF extraction and QA.
bris_m2026_008,Brisbane,QLD,Seqwater,Turbidity,,,,,,,Seqwater Water Quality Report - Brisbane - March 2026.pdf,downloadable_pdf,uploaded_source_file,,2026-03,2026-05-08,authority,medium,imported,Candidate row created from monthly Brisbane report scope; numeric fields pending manual PDF extraction and QA.
bris_m2026_009,Brisbane,QLD,Seqwater,Alkalinity Total,,,,,,,Seqwater Water Quality Report - Brisbane - March 2026.pdf,downloadable_pdf,uploaded_source_file,,2026-03,2026-05-08,authority,medium,imported,Candidate row created from monthly Brisbane report scope; numeric fields pending manual PDF extraction and QA.
bris_m2026_010,Brisbane,QLD,Seqwater,Geosmin,,,,,,,Seqwater Water Quality Report - Brisbane - March 2026.pdf,downloadable_pdf,uploaded_source_file,,2026-03,2026-05-08,authority,medium,imported,Candidate row created from monthly Brisbane report scope; numeric fields pending manual PDF extraction and QA.
bris_m2026_011,Brisbane,QLD,Seqwater,2-Methylisoborneol / MIB,,,,,,,Seqwater Water Quality Report - Brisbane - March 2026.pdf,downloadable_pdf,uploaded_source_file,,2026-03,2026-05-08,authority,medium,imported,Candidate row created from monthly Brisbane report scope; numeric fields pending manual PDF extraction and QA.
