record_id,suburb,postcode,state,water_authority,supply_zone,parameter_name,value_numeric,unit,source_url,source_type,source_file_name,publication_date,last_checked_date,downloadable,manual_entry_required,source_notes,coverage_level,confidence_level,review_status,reviewer_initials,reviewer_notes
placeholder-001,,,,,,,,,,,,,,,,,,,imported,,
placeholder-002,,,,,,,,,,,,,,,,,,,imported,,
placeholder-003,,,,,,,,,,,,,,,,,,,imported,,
placeholder-004,,,,,,,,,,,,,,,,,,,imported,,
placeholder-005,,,,,,,,,,,,,,,,,,,imported,,
placeholder-006,,,,,,,,,,,,,,,,,,,imported,,
placeholder-007,,,,,,,,,,,,,,,,,,,imported,,
placeholder-008,,,,,,,,,,,,,,,,,,,imported,,
placeholder-009,,,,,,,,,,,,,,,,,,,imported,,
placeholder-010,,,,,,,,,,,,,,,,,,,imported,,
