record_id,region,state,water_authority,source_owner,source_type,source_file_name,parameter_name,value_numeric,average_value,min_value,max_value,unit,number_of_samples,source_url,report_month,publication_date,last_checked_date,coverage_level,confidence_level,review_status,reviewer_notes
bris_m2026_001,Brisbane,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Fluoride,,,,,,,uploaded_source_file,2026-03,unknown,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against source PDF before review.
bris_m2026_002,Brisbane,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Free Chlorine,,,,,,,uploaded_source_file,2026-03,unknown,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against source PDF before review.
bris_m2026_003,Brisbane,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Monochloramine,,,,,,,uploaded_source_file,2026-03,unknown,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against source PDF before review.
bris_m2026_004,Brisbane,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Total Chlorine,,,,,,,uploaded_source_file,2026-03,unknown,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against source PDF before review.
bris_m2026_005,Brisbane,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Hardness,,,,,,,uploaded_source_file,2026-03,unknown,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against source PDF before review.
bris_m2026_006,Brisbane,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,pH,,,,,,,uploaded_source_file,2026-03,unknown,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against source PDF before review.
bris_m2026_007,Brisbane,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Total Dissolved Solids,,,,,,,uploaded_source_file,2026-03,unknown,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against source PDF before review.
bris_m2026_008,Brisbane,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Turbidity,,,,,,,uploaded_source_file,2026-03,unknown,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against source PDF before review.
bris_m2026_009,Brisbane,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Alkalinity Total,,,,,,,uploaded_source_file,2026-03,unknown,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against source PDF before review.
bris_m2026_010,Brisbane,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,Geosmin,,,,,,,uploaded_source_file,2026-03,unknown,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against source PDF before review.
bris_m2026_011,Brisbane,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Brisbane - 2026-03.pdf,2-Methylisoborneol / MIB,,,,,,,uploaded_source_file,2026-03,unknown,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against source PDF before review.
