record_id,region,state,water_authority,source_owner,source_type,source_file_name,parameter_name,min_value,average_value,max_value,unit,number_of_samples,source_url,report_month,last_checked_date,coverage_level,confidence_level,review_status,reviewer_notes
goldcoast_m2026_001,Gold Coast,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Gold Coast - 2026-03.pdf,Fluoride,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against uploaded Seqwater Gold Coast March 2026 PDF before review.
goldcoast_m2026_002,Gold Coast,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Gold Coast - 2026-03.pdf,Free Chlorine,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against uploaded Seqwater Gold Coast March 2026 PDF before review.
goldcoast_m2026_003,Gold Coast,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Gold Coast - 2026-03.pdf,Monochloramine,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against uploaded Seqwater Gold Coast March 2026 PDF before review.
goldcoast_m2026_004,Gold Coast,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Gold Coast - 2026-03.pdf,Total Chlorine,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against uploaded Seqwater Gold Coast March 2026 PDF before review.
goldcoast_m2026_005,Gold Coast,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Gold Coast - 2026-03.pdf,Hardness,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against uploaded Seqwater Gold Coast March 2026 PDF before review.
goldcoast_m2026_006,Gold Coast,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Gold Coast - 2026-03.pdf,pH,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against uploaded Seqwater Gold Coast March 2026 PDF before review.
goldcoast_m2026_007,Gold Coast,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Gold Coast - 2026-03.pdf,Total Dissolved Solids,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against uploaded Seqwater Gold Coast March 2026 PDF before review.
goldcoast_m2026_008,Gold Coast,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Gold Coast - 2026-03.pdf,Turbidity,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against uploaded Seqwater Gold Coast March 2026 PDF before review.
goldcoast_m2026_009,Gold Coast,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Gold Coast - 2026-03.pdf,Alkalinity Total,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against uploaded Seqwater Gold Coast March 2026 PDF before review.
goldcoast_m2026_010,Gold Coast,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Gold Coast - 2026-03.pdf,Geosmin,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against uploaded Seqwater Gold Coast March 2026 PDF before review.
goldcoast_m2026_011,Gold Coast,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Gold Coast - 2026-03.pdf,2-Methylisoborneol / MIB,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Candidate imported row. Must be manually checked against uploaded Seqwater Gold Coast March 2026 PDF before review.
