record_id,region,state,water_authority,source_owner,source_type,source_file_name,parameter_name,min_value,average_value,max_value,unit,number_of_samples,source_url,report_month,last_checked_date,coverage_level,confidence_level,review_status,reviewer_notes
moreton_m2026_001,Moreton,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Fluoride,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Needs follow-up: candidate imported row with blank values; must be manually checked against uploaded Seqwater Moreton March 2026 PDF before review.
moreton_m2026_002,Moreton,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Free Chlorine,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Needs follow-up: candidate imported row with blank values; must be manually checked against uploaded Seqwater Moreton March 2026 PDF before review.
moreton_m2026_003,Moreton,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Monochloramine,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Needs follow-up: candidate imported row with blank values; must be manually checked against uploaded Seqwater Moreton March 2026 PDF before review.
moreton_m2026_004,Moreton,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Total Chlorine,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Needs follow-up: candidate imported row with blank values; must be manually checked against uploaded Seqwater Moreton March 2026 PDF before review.
moreton_m2026_005,Moreton,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Hardness,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Needs follow-up: candidate imported row with blank values; must be manually checked against uploaded Seqwater Moreton March 2026 PDF before review.
moreton_m2026_006,Moreton,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Moreton - 2026-03.pdf,pH,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Needs follow-up: candidate imported row with blank values; must be manually checked against uploaded Seqwater Moreton March 2026 PDF before review.
moreton_m2026_007,Moreton,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Total Dissolved Solids,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Needs follow-up: candidate imported row with blank values; must be manually checked against uploaded Seqwater Moreton March 2026 PDF before review.
moreton_m2026_008,Moreton,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Turbidity,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Needs follow-up: candidate imported row with blank values; must be manually checked against uploaded Seqwater Moreton March 2026 PDF before review.
moreton_m2026_009,Moreton,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Alkalinity Total,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Needs follow-up: candidate imported row with blank values; must be manually checked against uploaded Seqwater Moreton March 2026 PDF before review.
moreton_m2026_010,Moreton,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Geosmin,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Needs follow-up: candidate imported row with blank values; must be manually checked against uploaded Seqwater Moreton March 2026 PDF before review.
moreton_m2026_011,Moreton,QLD,Seqwater,Seqwater,downloadable_pdf,Seqwater Water Quality Report - Moreton - 2026-03.pdf,2-Methylisoborneol / MIB,,,,,,uploaded_source_file,2026-03,2026-05-09,authority,medium,imported,Needs follow-up: candidate imported row with blank values; must be manually checked against uploaded Seqwater Moreton March 2026 PDF before review.
