record_id,parameter_name,expected_source_file,source_owner,source_type,report_period,source_page_to_check,value_checked,unit_checked,min_value_checked,average_value_checked,max_value_checked,number_of_samples_checked,coverage_level,confidence_level,review_status,reviewer_initials,review_date,reviewer_notes
logan_m2026_001,Fluoride,Seqwater Water Quality Report - Logan - 2026-03.pdf,Seqwater,downloadable_pdf,2026-03,,,,,,,,authority,medium,imported,,,"Imported candidate row. Manually verify values, units, sample counts, and source page in uploaded Seqwater Logan March 2026 PDF before any status change."
logan_m2026_002,Free Chlorine,Seqwater Water Quality Report - Logan - 2026-03.pdf,Seqwater,downloadable_pdf,2026-03,,,,,,,,authority,medium,imported,,,"Imported candidate row. Manually verify values, units, sample counts, and source page in uploaded Seqwater Logan March 2026 PDF before any status change."
logan_m2026_003,Monochloramine,Seqwater Water Quality Report - Logan - 2026-03.pdf,Seqwater,downloadable_pdf,2026-03,,,,,,,,authority,medium,imported,,,"Imported candidate row. Manually verify values, units, sample counts, and source page in uploaded Seqwater Logan March 2026 PDF before any status change."
logan_m2026_004,Total Chlorine,Seqwater Water Quality Report - Logan - 2026-03.pdf,Seqwater,downloadable_pdf,2026-03,,,,,,,,authority,medium,imported,,,"Imported candidate row. Manually verify values, units, sample counts, and source page in uploaded Seqwater Logan March 2026 PDF before any status change."
logan_m2026_005,Hardness,Seqwater Water Quality Report - Logan - 2026-03.pdf,Seqwater,downloadable_pdf,2026-03,,,,,,,,authority,medium,imported,,,"Imported candidate row. Manually verify values, units, sample counts, and source page in uploaded Seqwater Logan March 2026 PDF before any status change."
logan_m2026_006,pH,Seqwater Water Quality Report - Logan - 2026-03.pdf,Seqwater,downloadable_pdf,2026-03,,,,,,,,authority,medium,imported,,,"Imported candidate row. Manually verify values, units, sample counts, and source page in uploaded Seqwater Logan March 2026 PDF before any status change."
logan_m2026_007,Total Dissolved Solids,Seqwater Water Quality Report - Logan - 2026-03.pdf,Seqwater,downloadable_pdf,2026-03,,,,,,,,authority,medium,imported,,,"Imported candidate row. Manually verify values, units, sample counts, and source page in uploaded Seqwater Logan March 2026 PDF before any status change."
logan_m2026_008,Turbidity,Seqwater Water Quality Report - Logan - 2026-03.pdf,Seqwater,downloadable_pdf,2026-03,,,,,,,,authority,medium,imported,,,"Imported candidate row. Manually verify values, units, sample counts, and source page in uploaded Seqwater Logan March 2026 PDF before any status change."
logan_m2026_009,Alkalinity Total,Seqwater Water Quality Report - Logan - 2026-03.pdf,Seqwater,downloadable_pdf,2026-03,,,,,,,,authority,medium,imported,,,"Imported candidate row. Manually verify values, units, sample counts, and source page in uploaded Seqwater Logan March 2026 PDF before any status change."
logan_m2026_010,Geosmin,Seqwater Water Quality Report - Logan - 2026-03.pdf,Seqwater,downloadable_pdf,2026-03,,,,,,,,authority,medium,imported,,,"Imported candidate row. Manually verify values, units, sample counts, and source page in uploaded Seqwater Logan March 2026 PDF before any status change."
logan_m2026_011,2-Methylisoborneol / MIB,Seqwater Water Quality Report - Logan - 2026-03.pdf,Seqwater,downloadable_pdf,2026-03,,,,,,,,authority,medium,imported,,,"Imported candidate row. Manually verify values, units, sample counts, and source page in uploaded Seqwater Logan March 2026 PDF before any status change."
