record_id,parameter_name,expected_source_file,source_owner,source_type,report_period,source_page_to_check,value_checked,unit_checked,min_value_checked,average_value_checked,max_value_checked,number_of_samples_checked,coverage_level,confidence_level,review_status,reviewer_initials,review_date,reviewer_notes
moreton_m2026_001,Fluoride,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,1,,mg/L,0.70,0.81,0.88,20,authority,medium,imported,JG,2026-05-09,Manually checked against uploaded Seqwater Moreton March 2026 PDF; keep imported until final QA sign-off.
moreton_m2026_002,Free Chlorine,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,1,,mg/L,0.1,0.4,1.7,24,authority,medium,imported,JG,2026-05-09,Manually checked against uploaded Seqwater Moreton March 2026 PDF; keep imported until final QA sign-off.
moreton_m2026_003,Monochloramine,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,1,,mg/L,2.5,2.9,3.5,19,authority,medium,imported,JG,2026-05-09,Manually checked against uploaded Seqwater Moreton March 2026 PDF; keep imported until final QA sign-off.
moreton_m2026_004,Total Chlorine,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,1,,mg/L,1.1,2.7,3.5,24,authority,medium,imported,JG,2026-05-09,Manually checked against uploaded Seqwater Moreton March 2026 PDF; keep imported until final QA sign-off.
moreton_m2026_005,Hardness,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,2,,mg/L,55.0,72.3,100.0,4,authority,medium,imported,JG,2026-05-09,Manually checked against uploaded Seqwater Moreton March 2026 PDF; keep imported until final QA sign-off.
moreton_m2026_006,pH,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,3,,pH Unit,7.0,7.6,8.0,24,authority,medium,imported,JG,2026-05-09,Manually checked against uploaded Seqwater Moreton March 2026 PDF; keep imported until final QA sign-off.
moreton_m2026_007,Total Dissolved Solids,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,3,,mg/L,120.0,190.0,280.0,4,authority,medium,imported,JG,2026-05-09,Manually checked against uploaded Seqwater Moreton March 2026 PDF; keep imported until final QA sign-off.
moreton_m2026_008,Turbidity,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,3,,NTU,0.2,0.3,0.5,13,authority,medium,imported,JG,2026-05-09,Manually checked against uploaded Seqwater Moreton March 2026 PDF; keep imported until final QA sign-off.
moreton_m2026_009,Alkalinity Total,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,3,,mg/L,42.0,42.0,42.0,2,authority,medium,imported,JG,2026-05-09,Manually checked against uploaded Seqwater Moreton March 2026 PDF; keep imported until final QA sign-off.
moreton_m2026_010,Geosmin,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,3,,ng/L,<2.0,<2.0,<2.0,5,authority,medium,imported,JG,2026-05-09,Manually checked against uploaded Seqwater Moreton March 2026 PDF; keep imported until final QA sign-off.
moreton_m2026_011,2-Methylisoborneol / MIB,Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,3,,ng/L,2.8,4.1,5.8,5,authority,medium,imported,JG,2026-05-09,Manually checked against uploaded Seqwater Moreton March 2026 PDF; keep imported until final QA sign-off.
