record_id,parameter_name,value_checked,unit_checked,min_value_checked,average_value_checked,max_value_checked,number_of_samples_checked,source_page_checked,coverage_level,confidence_level,reviewer_initials,review_date,review_status,reviewer_notes
moreton_m2026_001,Fluoride,,mg/L,0.70,0.81,0.88,20,1,authority,medium,JG,2026-05-09,reviewed,"Checked against uploaded Seqwater Moreton March 2026 PDF. Authority-level monthly data, not individual household tap testing."
moreton_m2026_002,Free Chlorine,,mg/L,0.1,0.4,1.7,24,1,authority,medium,JG,2026-05-09,reviewed,"Checked against uploaded Seqwater Moreton March 2026 PDF. Authority-level monthly data, not individual household tap testing."
moreton_m2026_003,Monochloramine,,mg/L,2.5,2.9,3.5,19,1,authority,medium,JG,2026-05-09,reviewed,"Checked against uploaded Seqwater Moreton March 2026 PDF. Authority-level monthly data, not individual household tap testing."
moreton_m2026_004,Total Chlorine,,mg/L,1.1,2.7,3.5,24,1,authority,medium,JG,2026-05-09,reviewed,"Checked against uploaded Seqwater Moreton March 2026 PDF. Authority-level monthly data, not individual household tap testing."
moreton_m2026_005,Hardness,,mg/L,55.0,72.3,100.0,4,2,authority,medium,JG,2026-05-09,reviewed,"Checked against uploaded Seqwater Moreton March 2026 PDF. Authority-level monthly data, not individual household tap testing."
moreton_m2026_006,pH,,pH Unit,7.0,7.6,8.0,24,3,authority,medium,JG,2026-05-09,reviewed,"Checked against uploaded Seqwater Moreton March 2026 PDF. Authority-level monthly data, not individual household tap testing."
moreton_m2026_007,Total Dissolved Solids,,mg/L,120.0,190.0,280.0,4,3,authority,medium,JG,2026-05-09,reviewed,"Checked against uploaded Seqwater Moreton March 2026 PDF. Authority-level monthly data, not individual household tap testing."
moreton_m2026_008,Turbidity,,NTU,0.2,0.3,0.5,13,3,authority,medium,JG,2026-05-09,reviewed,"Checked against uploaded Seqwater Moreton March 2026 PDF. Authority-level monthly data, not individual household tap testing."
moreton_m2026_009,Alkalinity Total,,mg/L,42.0,42.0,42.0,2,3,authority,medium,JG,2026-05-09,reviewed,"Checked against uploaded Seqwater Moreton March 2026 PDF. Authority-level monthly data, not individual household tap testing."
moreton_m2026_010,Geosmin,,ng/L,<2.0,<2.0,<2.0,5,3,authority,medium,JG,2026-05-09,reviewed,"Checked against uploaded Seqwater Moreton March 2026 PDF. Authority-level monthly data, not individual household tap testing."
moreton_m2026_011,2-Methylisoborneol / MIB,,ng/L,2.8,4.1,5.8,5,3,authority,medium,JG,2026-05-09,reviewed,"Checked against uploaded Seqwater Moreton March 2026 PDF. Authority-level monthly data, not individual household tap testing."
