qa_id,record_id,source_file_name,local_repo_path,source_owner,source_type,report_period,parameter_name,min_value_to_check,average_value_to_check,max_value_to_check,unit_to_check,sample_count_to_check,review_status,reviewer_notes
moreton-mar-2026-qa-001,moreton_m2026_001,Seqwater Water Quality Report - Moreton - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,Fluoride,,,,,,imported,Needs follow-up: candidate imported row with blank values; human must verify against uploaded Moreton March 2026 PDF before review.
moreton-mar-2026-qa-002,moreton_m2026_002,Seqwater Water Quality Report - Moreton - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,Free Chlorine,,,,,,imported,Needs follow-up: candidate imported row with blank values; human must verify against uploaded Moreton March 2026 PDF before review.
moreton-mar-2026-qa-003,moreton_m2026_003,Seqwater Water Quality Report - Moreton - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,Monochloramine,,,,,,imported,Needs follow-up: candidate imported row with blank values; human must verify against uploaded Moreton March 2026 PDF before review.
moreton-mar-2026-qa-004,moreton_m2026_004,Seqwater Water Quality Report - Moreton - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,Total Chlorine,,,,,,imported,Needs follow-up: candidate imported row with blank values; human must verify against uploaded Moreton March 2026 PDF before review.
moreton-mar-2026-qa-005,moreton_m2026_005,Seqwater Water Quality Report - Moreton - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,Hardness,,,,,,imported,Needs follow-up: candidate imported row with blank values; human must verify against uploaded Moreton March 2026 PDF before review.
moreton-mar-2026-qa-006,moreton_m2026_006,Seqwater Water Quality Report - Moreton - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,pH,,,,,,imported,Needs follow-up: candidate imported row with blank values; human must verify against uploaded Moreton March 2026 PDF before review.
moreton-mar-2026-qa-007,moreton_m2026_007,Seqwater Water Quality Report - Moreton - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,Total Dissolved Solids,,,,,,imported,Needs follow-up: candidate imported row with blank values; human must verify against uploaded Moreton March 2026 PDF before review.
moreton-mar-2026-qa-008,moreton_m2026_008,Seqwater Water Quality Report - Moreton - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,Turbidity,,,,,,imported,Needs follow-up: candidate imported row with blank values; human must verify against uploaded Moreton March 2026 PDF before review.
moreton-mar-2026-qa-009,moreton_m2026_009,Seqwater Water Quality Report - Moreton - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,Alkalinity Total,,,,,,imported,Needs follow-up: candidate imported row with blank values; human must verify against uploaded Moreton March 2026 PDF before review.
moreton-mar-2026-qa-010,moreton_m2026_010,Seqwater Water Quality Report - Moreton - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,Geosmin,,,,,,imported,Needs follow-up: candidate imported row with blank values; human must verify against uploaded Moreton March 2026 PDF before review.
moreton-mar-2026-qa-011,moreton_m2026_011,Seqwater Water Quality Report - Moreton - 2026-03.pdf,data/source-files/seqwater/Seqwater Water Quality Report - Moreton - 2026-03.pdf,Seqwater,PDF,2026-03,2-Methylisoborneol / MIB,,,,,,imported,Needs follow-up: candidate imported row with blank values; human must verify against uploaded Moreton March 2026 PDF before review.
